phrase,highlight
i'm in the mood for Hells Bells tonight,Hells Bells
can we listen to Cliffs of Dover,Cliffs of Dover
i'd like to hear blackened,blackened
i want to listen to Manic Depression,Manic Depression
i'd like to hear dirty deeds done dirt cheap,dirty deeds done dirt cheap
i really want to hear Electric Feel,Electric Feel
let me hear Clocks,Clocks
let me hear Wish You Were Here,Wish You Were Here
put on Dyers Eve right now,Dyers Eve
let me hear Trapped Under Ice,Trapped Under Ice
start playing Bad Medicine for me,Bad Medicine
can we listen to dr. feelgood,dr. feelgood
put on fields of gold right now,fields of gold
start playing Enter Sandman for me,Enter Sandman
play dancing queen,dancing queen
put on Fields of Gold right now,Fields of Gold
i'd like to hear Pompeii,Pompeii
find fire and play it,fire
start playing The Frayed Ends of Sanity for me,The Frayed Ends of Sanity
can you play brain damage,brain damage
go ahead and play bad medicine,bad medicine
start playing wonderwall for me,wonderwall
i want to listen to shallow,shallow
queue up Take Up Thy Stethoscope and Walk for me,Take Up Thy Stethoscope and Walk
start playing To Live Is to Die for me,To Live Is to Die
i really want to hear whole lotta rosie,whole lotta rosie
i want to listen to trapped under ice,trapped under ice
queue up Matilda Mother for me,Matilda Mother
i really want to hear starboy,starboy
can you put on God's Plan please,God's Plan
can you put on stairway to heaven please,stairway to heaven
hey throw on Arnold Layne,Arnold Layne
find Warriors and play it,Warriors
i'm in the mood for Pow R Toc H tonight,Pow R Toc H
find One and play it,One
i'd like to hear Still Raining Still Dreaming,Still Raining Still Dreaming
can you play Wake Me Up,Wake Me Up
go ahead and play believer,believer
find breed and play it,breed
can you put on Yellow please,Yellow
let's listen to The God That Failed,The God That Failed
hey play every little thing she does is magic,every little thing she does is magic
let me hear fix you,fix you
i want to listen to Sad But True,Sad But True
get Flaming playing,Flaming
hey play ride the lightning,ride the lightning
i want to listen to battery,battery
start playing Orion for me,Orion
queue up oh the guilt for me,oh the guilt
i'm in the mood for castles made of sand tonight,castles made of sand
hey play jump,jump
can you put on Wanted Dead or Alive please,Wanted Dead or Alive
can we listen to chandelier,chandelier
find in bloom and play it,in bloom
put on brain damage right now,brain damage
put on Bleeding Out right now,Bleeding Out
let's listen to Disposable Heroes,Disposable Heroes
i'm in the mood for aneurysm tonight,aneurysm
i feel like listening to demons,demons
i'm in the mood for Invisible Sun tonight,Invisible Sun
hey play The Bike,The Bike
put on livin' on a prayer right now,livin' on a prayer
let me hear trapped under ice,trapped under ice
i want to listen to walking on the moon,walking on the moon
can you play Voodoo Child,Voodoo Child
can you put on stay away please,stay away
put on Runaway right now,Runaway
get Eclipse playing,Eclipse
i want to listen to Purple Haze,Purple Haze
get Let Your Soul Be Your Pilot playing,Let Your Soul Be Your Pilot
go ahead and play if you want blood,if you want blood
can we listen to brand new day,brand new day
go ahead and play Chapter 24,Chapter 24
i want to listen to hells bells,hells bells
i really want to hear enjoy the silence,enjoy the silence
find little wing and play it,little wing
could you start playing Starboy for me,Starboy
queue up Paranoid Android for me,Paranoid Android
start playing Let It Be for me,Let It Be
go ahead and play englishman in new york,englishman in new york
can we listen to Let There Be Rock,Let There Be Rock
play believer,believer
i want to listen to bold as love,bold as love
get Wish You Were Here playing,Wish You Were Here
put on Manic Depression right now,Manic Depression
go ahead and play It's Time,It's Time
i'd like to hear Titanium,Titanium
let me hear Hells Bells,Hells Bells
i really want to hear Battery,Battery
i'd like to hear let your soul be your pilot,let your soul be your pilot
queue up Come As You Are for me,Come As You Are
start playing the god that failed for me,the god that failed
get Chapter 24 playing,Chapter 24
can we listen to flaming,flaming
i really want to hear Shine On You Crazy Diamond,Shine On You Crazy Diamond
i really want to hear Always,Always
find Stairway to Heaven and play it,Stairway to Heaven
i want to listen to all along the watchtower,all along the watchtower
queue up Back in Black for me,Back in Black
start playing Arnold Layne for me,Arnold Layne
i'd like to hear spanish castle magic,spanish castle magic
i feel like listening to Sad But True,Sad But True
i'd like to hear Let There Be Rock,Let There Be Rock
can we listen to Dr. Feelgood,Dr. Feelgood
start playing Drain You for me,Drain You
play superstition,superstition
i want to listen to house burning down,house burning down
can you play lithium,lithium
get something in the way playing,something in the way
i want to listen to For Whom the Bell Tolls,For Whom the Bell Tolls
i really want to hear You Give Love a Bad Name,You Give Love a Bad Name
put on Every Little Thing She Does Is Magic right now,Every Little Thing She Does Is Magic
i'd like to hear Lose You to Love Me,Lose You to Love Me
go ahead and play brand new day,brand new day
get flaming playing,flaming
hey throw on Of Wolf and Man,Of Wolf and Man
i want to listen to thunderstruck,thunderstruck
i'm in the mood for fade to black tonight,fade to black
let's listen to God's Plan,God's Plan
go ahead and play the god that failed,the god that failed
i really want to hear dancing queen,dancing queen
i really want to hear Enjoy the Silence,Enjoy the Silence
let me hear Polly,Polly
i'd like to hear shape of you,shape of you
get in bloom playing,in bloom
can you put on bohemian rhapsody please,bohemian rhapsody
let's listen to Flaming,Flaming
play Dancing Queen,Dancing Queen
i feel like listening to always,always
queue up If You Want Blood for me,If You Want Blood
let's listen to Shape of My Heart,Shape of My Heart
queue up Message in a Bottle for me,Message in a Bottle
let's listen to bad guy,bad guy
i feel like listening to Harvester of Sorrow,Harvester of Sorrow
find Breed and play it,Breed
hey play Eclipse,Eclipse
i really want to hear polly,polly
could you start playing Superstition for me,Superstition
can you play oh the guilt,oh the guilt
hey play trapped under ice,trapped under ice
let me hear The Four Horsemen,The Four Horsemen
hey throw on the gnome,the gnome
hey throw on dirty deeds done dirt cheap,dirty deeds done dirt cheap
start playing to live is to die for me,to live is to die
i really want to hear welcome to the machine,welcome to the machine
queue up cliffs of dover for me,cliffs of dover
let's listen to seek and destroy,seek and destroy
start playing without you for me,without you
start playing Titanium for me,Titanium
i'd like to hear roxanne,roxanne
hey throw on Brand New Day,Brand New Day
i feel like listening to Shoot to Thrill,Shoot to Thrill
i'm in the mood for little wing tonight,little wing
get wish you were here playing,wish you were here
play yellow,yellow
find numb and play it,numb
can you play jump,jump
i'd like to hear Sheep,Sheep
can you play drain you,drain you
could you start playing Battery for me,Battery
find message in a bottle and play it,message in a bottle
go ahead and play Bad Medicine,Bad Medicine
i really want to hear sad but true,sad but true
could you start playing Spanish Castle Magic for me,Spanish Castle Magic
start playing Rock and Roll Ain't Noise Pollution for me,Rock and Roll Ain't Noise Pollution
hey play the frayed ends of sanity,the frayed ends of sanity
i really want to hear bad medicine,bad medicine
put on Desert Rose right now,Desert Rose
i want to listen to fragile,fragile
get It's Time playing,It's Time
let's listen to Lucifer Sam,Lucifer Sam
go ahead and play moon turn the tides,moon turn the tides
queue up Pow R Toc H for me,Pow R Toc H
find Have a Cigar and play it,Have a Cigar
can you put on Money please,Money
put on dancing queen right now,dancing queen
can we listen to Money,Money
put on Dancing Queen right now,Dancing Queen
put on the bike right now,the bike
could you start playing Hey Joe for me,Hey Joe
can you play take up thy stethoscope and walk,take up thy stethoscope and walk
go ahead and play you shook me all night long,you shook me all night long
let's listen to Demons,Demons
hey throw on born to run,born to run
hey play Every Breath You Take,Every Breath You Take
put on Aneurysm right now,Aneurysm
get Ride the Lightning playing,Ride the Lightning
play spanish castle magic,spanish castle magic
hey throw on Wish You Were Here,Wish You Were Here
hey throw on nothing else matters,nothing else matters
i really want to hear Natural,Natural
can you play house burning down,house burning down
hey throw on the bike,the bike
can we listen to without you,without you
start playing billie jean for me,billie jean
let's listen to lithium,lithium
hey play every breath you take,every breath you take
find come as you are and play it,come as you are
can you play Roxanne,Roxanne
i want to listen to purple haze,purple haze
let me hear Creeping Death,Creeping Death
i'd like to hear Holier Than Thou,Holier Than Thou
get riders on the storm playing,riders on the storm
put on Hey Joe right now,Hey Joe
find Fragile and play it,Fragile
could you start playing let it be for me,let it be
hey play Jump,Jump
can you put on amsterdam please,amsterdam
go ahead and play purple rain,purple rain
can you play Fragile,Fragile
find the struggle within and play it,the struggle within
can you play Take Five,Take Five
can you put on castles made of sand please,castles made of sand
i really want to hear brain damage,brain damage
i'm in the mood for wake me up tonight,wake me up
let's listen to stay away,stay away
go ahead and play No Remorse,No Remorse
can you put on Castles Made of Sand please,Castles Made of Sand
can we listen to natural,natural
hey throw on king of pain,king of pain
hey play something in the way,something in the way
let me hear money,money
play Despacito,Despacito
go ahead and play bold as love,bold as love
get wonderwall playing,wonderwall
i want to listen to manic depression,manic depression
i really want to hear the four horsemen,the four horsemen
i feel like listening to Numb,Numb
i'd like to hear Shape of You,Shape of You
hey play Every Little Thing She Does Is Magic,Every Little Thing She Does Is Magic
hey play welcome home sanitarium,welcome home sanitarium
put on Sheep right now,Sheep
i want to listen to Livin' on a Prayer,Livin' on a Prayer
let's listen to under the bridge,under the bridge
put on sliver right now,sliver
i really want to hear my friend of misery,my friend of misery
queue up the gnome for me,the gnome
put on Killing Me Softly right now,Killing Me Softly
find The Struggle Within and play it,The Struggle Within
can we listen to Let It Be,Let It Be
let's listen to Pow R Toc H,Pow R Toc H
start playing Pompeii for me,Pompeii
i want to listen to Hells Bells,Hells Bells
find eclipse and play it,eclipse
play Enjoy the Silence,Enjoy the Silence
find smells like teen spirit and play it,smells like teen spirit
put on billie jean right now,billie jean
i'd like to hear Roxanne,Roxanne
put on killing me softly right now,killing me softly
let me hear To Live Is to Die,To Live Is to Die
i feel like listening to numb,numb
let's listen to Superstition,Superstition
i feel like listening to Warriors,Warriors
i really want to hear Seven Nation Army,Seven Nation Army
i really want to hear Purple Rain,Purple Rain
let's listen to demons,demons
could you start playing no remorse for me,no remorse
queue up Home Sweet Home for me,Home Sweet Home
play wherever i may roam,wherever i may roam
let me hear amsterdam,amsterdam
hey play Girls Girls Girls,Girls Girls Girls
i'm in the mood for Battery tonight,Battery
i feel like listening to Killing Me Softly,Killing Me Softly
i'd like to hear Wake Me Up,Wake Me Up
go ahead and play Breed,Breed
can we listen to All Along the Watchtower,All Along the Watchtower
i'm in the mood for Sweet Child O' Mine tonight,Sweet Child O' Mine
i want to listen to Walking on the Moon,Walking on the Moon
get walking on the moon playing,walking on the moon
i'm in the mood for lounge act tonight,lounge act
i really want to hear uptown funk,uptown funk
hey throw on under the bridge,under the bridge
hey play Time,Time
i'm in the mood for electric feel tonight,electric feel
let me hear foxy lady,foxy lady
put on Without You right now,Without You
go ahead and play Scarecrow,Scarecrow
i'm in the mood for Crosstown Traffic tonight,Crosstown Traffic
hey throw on hey joe,hey joe
go ahead and play it's time,it's time
can you put on yellow please,yellow
i really want to hear holier than thou,holier than thou
can you put on still raining still dreaming please,still raining still dreaming
i want to listen to bed of roses,bed of roses
i'm in the mood for Spanish Castle Magic tonight,Spanish Castle Magic
hey throw on Livin' on a Prayer,Livin' on a Prayer
hey throw on Smells Like Teen Spirit,Smells Like Teen Spirit
put on bed of roses right now,bed of roses
let's listen to the unforgiven,the unforgiven
can you put on The Four Horsemen please,The Four Horsemen
i want to listen to Something in the Way,Something in the Way
go ahead and play To Live Is to Die,To Live Is to Die
play Hotel California,Hotel California
can we listen to believer,believer
find ghost story and play it,ghost story
let's listen to Under the Bridge,Under the Bridge
play Rock and Roll Ain't Noise Pollution,Rock and Roll Ain't Noise Pollution
play rock and roll ain't noise pollution,rock and roll ain't noise pollution
can you play wonderwall,wonderwall
i really want to hear Sad But True,Sad But True
can we listen to Fade to Black,Fade to Black
i want to listen to interstellar overdrive,interstellar overdrive
i'm in the mood for Harvester of Sorrow tonight,Harvester of Sorrow
go ahead and play chapter 24,chapter 24
i feel like listening to moon turn the tides,moon turn the tides
i'm in the mood for Shape of You tonight,Shape of You
let's listen to breed,breed
put on disposable heroes right now,disposable heroes
queue up shine on you crazy diamond for me,shine on you crazy diamond
can you put on englishman in new york please,englishman in new york
start playing pigs for me,pigs
go ahead and play Rock and Roll Ain't Noise Pollution,Rock and Roll Ain't Noise Pollution
queue up starboy for me,starboy
play seek and destroy,seek and destroy
can you put on Bohemian Rhapsody please,Bohemian Rhapsody
go ahead and play Sliver,Sliver
get Creep playing,Creep
let's listen to bleeding out,bleeding out
hey throw on Dogs,Dogs
start playing rock and roll ain't noise pollution for me,rock and roll ain't noise pollution
i'm in the mood for superstition tonight,superstition
i really want to hear Starboy,Starboy
let me hear creep,creep
i want to listen to purple rain,purple rain
start playing Desert Rose for me,Desert Rose
i feel like listening to See Emily Play,See Emily Play
i feel like listening to Pigs,Pigs
let's listen to Radioactive,Radioactive
i feel like listening to rock and roll ain't noise pollution,rock and roll ain't noise pollution
play Fix You,Fix You
i'd like to hear lounge act,lounge act
start playing One for me,One
start playing desert rose for me,desert rose
i'm in the mood for For Whom the Bell Tolls tonight,For Whom the Bell Tolls
could you start playing it's time for me,it's time
can you play territorial pissings,territorial pissings
i'd like to hear Chandelier,Chandelier
play fragile,fragile
can you put on holier than thou please,holier than thou
let me hear Still Raining Still Dreaming,Still Raining Still Dreaming
start playing believer for me,believer
queue up thunder for me,thunder
find Burning of the Midnight Lamp and play it,Burning of the Midnight Lamp
start playing Creeping Death for me,Creeping Death
start playing Blinding Lights for me,Blinding Lights
hey play Nightcall,Nightcall
let me hear Kickstart My Heart,Kickstart My Heart
could you start playing Every Breath You Take for me,Every Breath You Take
hey throw on Wanted Dead or Alive,Wanted Dead or Alive
play Wherever I May Roam,Wherever I May Roam
i'd like to hear titanium,titanium
go ahead and play the scarecrow,the scarecrow
can you put on valparaiso please,valparaiso
queue up Always for me,Always
i want to listen to Shoot to Thrill,Shoot to Thrill
start playing Girls Girls Girls for me,Girls Girls Girls
let me hear Eclipse,Eclipse
i feel like listening to Crossroads,Crossroads
can you put on you give love a bad name please,you give love a bad name
queue up Starboy for me,Starboy
i really want to hear you give love a bad name,you give love a bad name
find warriors and play it,warriors
start playing Bold as Love for me,Bold as Love
find every little thing she does is magic and play it,every little thing she does is magic
find hotel california and play it,hotel california
i'd like to hear still raining still dreaming,still raining still dreaming
i really want to hear walking on the moon,walking on the moon
can you play Demons,Demons
let's listen to the god that failed,the god that failed
put on Paranoid Android right now,Paranoid Android
i really want to hear Holier Than Thou,Holier Than Thou
put on rolling in the deep right now,rolling in the deep
can you play phantom lord,phantom lord
find no remorse and play it,no remorse
i'd like to hear Bad Guy,Bad Guy
hey throw on The Unforgiven,The Unforgiven
i'm in the mood for Castles Made of Sand tonight,Castles Made of Sand
get ride the lightning playing,ride the lightning
play voodoo child,voodoo child
play Lose Yourself,Lose Yourself
start playing The Gnome for me,The Gnome
go ahead and play Seven Nation Army,Seven Nation Army
let me hear creeping death,creeping death
queue up foxy lady for me,foxy lady
queue up matilda mother for me,matilda mother
i feel like listening to valparaiso,valparaiso
play lose yourself,lose yourself
find Killing Me Softly and play it,Killing Me Softly
i'm in the mood for redbone tonight,redbone
i'm in the mood for brain damage tonight,brain damage
i'd like to hear let there be rock,let there be rock
start playing highway to hell for me,highway to hell
go ahead and play burning of the midnight lamp,burning of the midnight lamp
play No Remorse,No Remorse
i really want to hear hotel california,hotel california
play Thunderstruck,Thunderstruck
let's listen to master of puppets,master of puppets
queue up come as you are for me,come as you are
let me hear eclipse,eclipse
let me hear invisible sun,invisible sun
play Dr. Feelgood,Dr. Feelgood
get blackened playing,blackened
can we listen to the struggle within,the struggle within
find sliver and play it,sliver
i feel like listening to levitating,levitating
start playing ghost story for me,ghost story
can you play chandelier,chandelier
i feel like listening to Highway to Hell,Highway to Hell
could you start playing It's Time for me,It's Time
can you put on sheep please,sheep
start playing the gnome for me,the gnome
i'd like to hear born to run,born to run
start playing lose you to love me for me,lose you to love me
put on runaway right now,runaway
start playing Back in Black for me,Back in Black
queue up runaway for me,runaway
i'd like to hear Bohemian Rhapsody,Bohemian Rhapsody
can you play Thunder,Thunder
get sweet child o' mine playing,sweet child o' mine
i feel like listening to Clocks,Clocks
could you start playing You Give Love a Bad Name for me,You Give Love a Bad Name
i feel like listening to voodoo child,voodoo child
go ahead and play sliver,sliver
i feel like listening to Chapter 24,Chapter 24
let me hear wish you were here,wish you were here
start playing Electric Feel for me,Electric Feel
i want to listen to Purple Rain,Purple Rain
can you put on Wherever I May Roam please,Wherever I May Roam
i want to listen to under the bridge,under the bridge
let's listen to paranoid android,paranoid android
start playing amsterdam for me,amsterdam
i feel like listening to Fields of Gold,Fields of Gold
can you play born to run,born to run
find Come As You Are and play it,Come As You Are
find killing me softly and play it,killing me softly
let's listen to Sheep,Sheep
let's listen to god's plan,god's plan
i'm in the mood for for whom the bell tolls tonight,for whom the bell tolls
i want to listen to you shook me all night long,you shook me all night long
i'm in the mood for englishman in new york tonight,englishman in new york
go ahead and play Crosstown Traffic,Crosstown Traffic
could you start playing creeping death for me,creeping death
go ahead and play Purple Rain,Purple Rain
i want to listen to Fragile,Fragile
start playing Clocks for me,Clocks
can you play roxanne,roxanne
find Voodoo Child and play it,Voodoo Child
i feel like listening to africa,africa
i really want to hear Scarecrow,Scarecrow
let's listen to superstition,superstition
let me hear Fix You,Fix You
i'm in the mood for Englishman in New York tonight,Englishman in New York
hey play radioactive,radioactive
i feel like listening to Always,Always
i'm in the mood for Let Your Soul Be Your Pilot tonight,Let Your Soul Be Your Pilot
i feel like listening to Uptown Funk,Uptown Funk
go ahead and play no remorse,no remorse
play arnold layne,arnold layne
let's listen to see emily play,see emily play
put on desert rose right now,desert rose
i want to listen to for whom the bell tolls,for whom the bell tolls
let's listen to Interstellar Overdrive,Interstellar Overdrive
let's listen to you shook me all night long,you shook me all night long
go ahead and play wanted dead or alive,wanted dead or alive
can you put on Stairway to Heaven please,Stairway to Heaven
can we listen to Message in a Bottle,Message in a Bottle
let me hear bleeding out,bleeding out
i'm in the mood for Aneurysm tonight,Aneurysm
let me hear shallow,shallow
could you start playing So Lonely for me,So Lonely
start playing Valparaiso for me,Valparaiso
find Creep and play it,Creep
i'd like to hear Rolling in the Deep,Rolling in the Deep
put on aneurysm right now,aneurysm
i feel like listening to Stay Away,Stay Away
hey play orion,orion
i'd like to hear dyers eve,dyers eve
i really want to hear pompeii,pompeii
put on Rolling in the Deep right now,Rolling in the Deep
i really want to hear africa,africa
i'd like to hear the scarecrow,the scarecrow
i feel like listening to Voodoo Child,Voodoo Child
i feel like listening to enjoy the silence,enjoy the silence
i feel like listening to wherever i may roam,wherever i may roam
can you put on Valparaiso please,Valparaiso
can you play let there be rock,let there be rock
let me hear still raining still dreaming,still raining still dreaming
let's listen to damage inc,damage inc
i feel like listening to Damage Inc,Damage Inc
hey play Dogs,Dogs
go ahead and play breed,breed
start playing let it be for me,let it be
start playing orion for me,orion
can you play Born to Run,Born to Run
could you start playing something in the way for me,something in the way
could you start playing Riders on the Storm for me,Riders on the Storm
can you play voodoo child,voodoo child
i really want to hear battery,battery
i really want to hear Of Wolf and Man,Of Wolf and Man
start playing Radioactive for me,Radioactive
i really want to hear In Bloom,In Bloom
i want to listen to the wind cries mary,the wind cries mary
can you put on You Give Love a Bad Name please,You Give Love a Bad Name
hey play killing me softly,killing me softly
go ahead and play welcome to the machine,welcome to the machine
put on Africa right now,Africa
i'm in the mood for king of pain tonight,king of pain
can we listen to the god that failed,the god that failed
i'm in the mood for hells bells tonight,hells bells
can we listen to money,money
hey throw on fire,fire
hey throw on arnold layne,arnold layne
find Fire and play it,Fire
hey play girls girls girls,girls girls girls
i'd like to hear Burning of the Midnight Lamp,Burning of the Midnight Lamp
get Girls Girls Girls playing,Girls Girls Girls
i want to listen to burning of the midnight lamp,burning of the midnight lamp
queue up Radioactive for me,Radioactive
i want to listen to astronomy domine,astronomy domine
can you put on the wind cries mary please,the wind cries mary
can you put on fix you please,fix you
start playing clocks for me,clocks
i feel like listening to the unforgiven,the unforgiven
i want to listen to nightcall,nightcall
start playing the frayed ends of sanity for me,the frayed ends of sanity
play stay away,stay away
i really want to hear natural,natural
can you play Chandelier,Chandelier
queue up kickstart my heart for me,kickstart my heart
can you play valparaiso,valparaiso
go ahead and play Comfortably Numb,Comfortably Numb
i really want to hear warriors,warriors
get See Emily Play playing,See Emily Play
let me hear message in a bottle,message in a bottle
go ahead and play fire,fire
i want to listen to livin' on a prayer,livin' on a prayer
hey throw on Welcome to the Machine,Welcome to the Machine
could you start playing Drain You for me,Drain You
could you start playing master of puppets for me,master of puppets
let me hear Enter Sandman,Enter Sandman
put on paranoid android right now,paranoid android
can we listen to cliffs of dover,cliffs of dover
hey throw on wanted dead or alive,wanted dead or alive
hey play tnt,tnt
i'm in the mood for Superstition tonight,Superstition
i feel like listening to Africa,Africa
get Hells Bells playing,Hells Bells
i'd like to hear mr. brightside,mr. brightside
can you play bad medicine,bad medicine
can you play Bad Medicine,Bad Medicine
can we listen to Castles Made of Sand,Castles Made of Sand
let's listen to welcome to the machine,welcome to the machine
queue up Time for me,Time
let me hear Pow R Toc H,Pow R Toc H
hey play enjoy the silence,enjoy the silence
i'm in the mood for pigs tonight,pigs
get dogs playing,dogs
can you play matilda mother,matilda mother
i really want to hear Come As You Are,Come As You Are
let's listen to radioactive,radioactive
i'd like to hear Spanish Castle Magic,Spanish Castle Magic
start playing Billie Jean for me,Billie Jean
hey play fade to black,fade to black
go ahead and play Africa,Africa
hey play Killing Me Softly,Killing Me Softly
could you start playing under the bridge for me,under the bridge
let's listen to Bold as Love,Bold as Love
hey throw on invisible sun,invisible sun
get Matilda Mother playing,Matilda Mother
find stairway to heaven and play it,stairway to heaven
i'm in the mood for orion tonight,orion
i'd like to hear If You Want Blood,If You Want Blood
find polly and play it,polly
let's listen to shape of my heart,shape of my heart
get Walking on the Moon playing,Walking on the Moon
can we listen to Believer,Believer
i want to listen to Bed of Roses,Bed of Roses
can you play wake me up,wake me up
i want to listen to Without You,Without You
i really want to hear Pompeii,Pompeii
let me hear Ghost Story,Ghost Story
i really want to hear Thunder,Thunder
let's listen to Blackened,Blackened
i'm in the mood for the scarecrow tonight,the scarecrow
can you play nothing else matters,nothing else matters
get Uptown Funk playing,Uptown Funk
let's listen to Wonderwall,Wonderwall
queue up paranoid android for me,paranoid android
i feel like listening to Rolling in the Deep,Rolling in the Deep
find always and play it,always
can we listen to Enter Sandman,Enter Sandman
can we listen to billie jean,billie jean
play lounge act,lounge act
let's listen to creeping death,creeping death
i'm in the mood for Whole Lotta Rosie tonight,Whole Lotta Rosie
i'd like to hear Sweet Child O' Mine,Sweet Child O' Mine
i'd like to hear chandelier,chandelier
i feel like listening to Home Sweet Home,Home Sweet Home
can you play Nothing Else Matters,Nothing Else Matters
can we listen to the wind cries mary,the wind cries mary
i feel like listening to see emily play,see emily play
put on born to run right now,born to run
find englishman in new york and play it,englishman in new york
start playing Believer for me,Believer
go ahead and play pigs,pigs
can you play all along the watchtower,all along the watchtower
i'm in the mood for Wake Me Up tonight,Wake Me Up
hey throw on of wolf and man,of wolf and man
let's listen to Fields of Gold,Fields of Gold
let me hear Foxy Lady,Foxy Lady
queue up Moon Turn the Tides for me,Moon Turn the Tides
play Creep,Creep
put on Welcome Home Sanitarium right now,Welcome Home Sanitarium
let's listen to blackened,blackened
i'd like to hear wake me up,wake me up
i really want to hear leper messiah,leper messiah
i want to listen to House Burning Down,House Burning Down
i'd like to hear Mr. Brightside,Mr. Brightside
find Take Up Thy Stethoscope and Walk and play it,Take Up Thy Stethoscope and Walk
start playing have a cigar for me,have a cigar
go ahead and play scarecrow,scarecrow
can you put on the four horsemen please,the four horsemen
can you put on wherever i may roam please,wherever i may roam
can you put on Englishman in New York please,Englishman in New York
find riders on the storm and play it,riders on the storm
get Whole Lotta Rosie playing,Whole Lotta Rosie
i really want to hear Rolling in the Deep,Rolling in the Deep
i feel like listening to electric feel,electric feel
hey throw on Chandelier,Chandelier
let's listen to Dyers Eve,Dyers Eve
play Of Wolf and Man,Of Wolf and Man
let me hear clocks,clocks
can you play Smoke on the Water,Smoke on the Water
let's listen to The Struggle Within,The Struggle Within
queue up Runaway for me,Runaway
queue up comfortably numb for me,comfortably numb
i'm in the mood for the struggle within tonight,the struggle within
hey throw on brand new day,brand new day
start playing Fade to Black for me,Fade to Black
can you play fragile,fragile
i feel like listening to harvester of sorrow,harvester of sorrow
play god's plan,god's plan
hey play highway to hell,highway to hell
i really want to hear crossroads,crossroads
let's listen to Paranoid Android,Paranoid Android
put on polly right now,polly
i really want to hear every little thing she does is magic,every little thing she does is magic
i feel like listening to stay away,stay away
i really want to hear Phantom Lord,Phantom Lord
let me hear Amsterdam,Amsterdam
find whole lotta rosie and play it,whole lotta rosie
start playing pompeii for me,pompeii
let's listen to time,time
i really want to hear Polly,Polly
let's listen to All Along the Watchtower,All Along the Watchtower
can we listen to let there be rock,let there be rock
put on Blinding Lights right now,Blinding Lights
hey throw on wake me up,wake me up
queue up Desert Rose for me,Desert Rose
find Whole Lotta Rosie and play it,Whole Lotta Rosie
could you start playing My Friend of Misery for me,My Friend of Misery
queue up Of Wolf and Man for me,Of Wolf and Man
i'd like to hear Crosstown Traffic,Crosstown Traffic
play Voodoo Child,Voodoo Child
i feel like listening to scarecrow,scarecrow
find Whiplash and play it,Whiplash
i really want to hear Every Little Thing She Does Is Magic,Every Little Thing She Does Is Magic
could you start playing Ride the Lightning for me,Ride the Lightning
let's listen to orion,orion
start playing bad medicine for me,bad medicine
can we listen to You Shook Me All Night Long,You Shook Me All Night Long
let's listen to Master of Puppets,Master of Puppets
can you put on interstellar overdrive please,interstellar overdrive
i really want to hear King of Pain,King of Pain
find Always and play it,Always
hey play astronomy domine,astronomy domine
can we listen to Thunder,Thunder
let's listen to See Emily Play,See Emily Play
could you start playing Bleeding Out for me,Bleeding Out
i feel like listening to Dirty Deeds Done Dirt Cheap,Dirty Deeds Done Dirt Cheap
go ahead and play Damage Inc,Damage Inc
put on dyers eve right now,dyers eve
queue up Thunderstruck for me,Thunderstruck
play of wolf and man,of wolf and man
put on Livin' on a Prayer right now,Livin' on a Prayer
i'm in the mood for have a cigar tonight,have a cigar
can we listen to levitating,levitating
let's listen to Bleeding Out,Bleeding Out
can you put on Phantom Lord please,Phantom Lord
i want to listen to Bold as Love,Bold as Love
could you start playing bleeding out for me,bleeding out
can we listen to Master of Puppets,Master of Puppets
can we listen to Runaway,Runaway
i feel like listening to Every Breath You Take,Every Breath You Take
can you play Cliffs of Dover,Cliffs of Dover
start playing back in black for me,back in black
could you start playing Leper Messiah for me,Leper Messiah
hey throw on livin' on a prayer,livin' on a prayer
i'd like to hear Lounge Act,Lounge Act
hey throw on Nothing Else Matters,Nothing Else Matters
can we listen to come as you are,come as you are
let me hear to live is to die,to live is to die
can we listen to purple rain,purple rain
let me hear Crosstown Traffic,Crosstown Traffic
i want to listen to Astronomy Domine,Astronomy Domine
play Lounge Act,Lounge Act
play my friend of misery,my friend of misery
put on TNT right now,TNT
get it's time playing,it's time
can you put on Seven Nation Army please,Seven Nation Army
could you start playing Master of Puppets for me,Master of Puppets
can you play The Bike,The Bike
i'm in the mood for whiplash tonight,whiplash
i'd like to hear Natural,Natural
hey play oh the guilt,oh the guilt
get take up thy stethoscope and walk playing,take up thy stethoscope and walk
hey play Astronomy Domine,Astronomy Domine
hey throw on Smoke on the Water,Smoke on the Water
can we listen to still raining still dreaming,still raining still dreaming
can we listen to Smoke on the Water,Smoke on the Water
i want to listen to Hotel California,Hotel California
could you start playing Amsterdam for me,Amsterdam
queue up thunderstruck for me,thunderstruck
let me hear enter sandman,enter sandman
can we listen to Levitating,Levitating
put on Sliver right now,Sliver
let's listen to Damage Inc,Damage Inc
play God's Plan,God's Plan
let's listen to pow r toc h,pow r toc h
go ahead and play Bold as Love,Bold as Love
can you put on god's plan please,god's plan
i feel like listening to Take Five,Take Five
queue up radioactive for me,radioactive
play Bed of Roses,Bed of Roses
go ahead and play the wind cries mary,the wind cries mary
i want to listen to Under the Bridge,Under the Bridge
let's listen to Bad Guy,Bad Guy
let's listen to bold as love,bold as love
can we listen to Oh the Guilt,Oh the Guilt
i'm in the mood for The Scarecrow tonight,The Scarecrow
hey throw on Invisible Sun,Invisible Sun
get despacito playing,despacito
hey play Riders on the Storm,Riders on the Storm
